"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","modo","gostou","data_curtida","n_reproducao","id_cliente"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,128.652945960612,-8.74396913707877,38.6713944079098,0,680510,1977,"N/A",FALSE,"2021-07-29",5,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,107.679120975715,-12.1281937130449,75.7397912225889,0,195746,2014,"f",FALSE,"2021-07-29",5,"#ID4940"
"Nenhuma",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,117.885751228133,-10.8802455291201,35.9781283350445,0,413618,1968,"D#",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,119.309408119223,-12.489925053677,45.7633761648584,0,749101,1963,"D#",TRUE,"2021-07-29",3,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,153.488567815926,-6.41248410155411,58.9797470662518,0,168978,2020,"c",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,117.119260688797,-10.238561770386,51.2250188518225,0,397995,2012,"g#",TRUE,"2021-07-29",4,"#ID4940"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,146.76656336886,-5.79385047205482,57.2950146288112,0,219387,2021,"D",TRUE,"2021-07-29",4,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,95.6812621181893,-5.89058346483781,71.988749448937,0,182119,2013,"E",FALSE,"2021-07-29",2,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,135.368163932167,-6.75563624292961,64.0274780965085,24.5034169466599,205806,2020,"F",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.6989158317603,-6.49900198879846,75.3862240922091,0,183470,2014,"D#",TRUE,"2021-07-29",5,"#ID4940"
"Eletrônica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128.925946238211,-7.2877326039197,79.2711730509174,24.5212481321888,238454,2008,"g",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127.73892102214,-5.55018834977893,83.9958209268258,0,181863,2012,"E",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,100.481540065129,-27.3305459312528,0,0,310517,2001,"N/A",FALSE,"2021-07-29",5,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,145.428930112288,-7.62113876983433,76.9467802445937,0,200209,2005,"A",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,90.4601966184833,-6.36639630843665,76.1788733120311,0,204089,2020,"F#",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,106.914832636854,-5.76675758885607,18.2478592600767,64.431742547509,213472,1995,"b",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,144.263139169978,-8.48541498149932,74.994494292446,0,236149,2008,"d",FALSE,"2021-07-29",5,"#ID4940"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,84.270491728459,-14.3243388178372,77.8248564218741,0,204799,2019,"C",FALSE,"2021-07-29",1,"#ID4940"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,81.3867727319805,-9.23511111757711,81.0063988634396,0,213122,2021,"D",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,100.356980499729,-6.64395687047616,20.43348935402,76.3512006246785,232307,2008,"g",TRUE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83.9092046708469,-9.72915964162118,84.4259249492707,0,211351,2016,"F",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,116.707604638711,-10.553060805962,75.8463685381809,0,192069,2006,"g",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,91.4470210540786,-6.51643506334984,11.1541234302801,63.3191522031291,259937,2007,"a#",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,131.854125445552,-5.90479571583532,73.2525139881221,32.0221857422121,193220,1999,"F",FALSE,"2021-07-29",1,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85.1475165222871,-9.43914461416172,69.4764487545405,0,196131,2019,"D",FALSE,"2021-07-29",4,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,96.0233479531864,-5.8039946067862,24.4501069707905,81.8175408446536,235515,2012,"B",FALSE,"2021-07-29",1,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,118.176243480496,-5.43121256834471,38.215199055789,0,504159,1987,"G",FALSE,"2021-07-29",4,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,128.757365198818,-6.50600141951193,59.0207674431825,0,141553,2019,"f",FALSE,"2021-07-29",2,"#ID4940"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,124.405430737426,-6.13748687522232,80.9047470234834,0,208808,2012,"A",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,89.6014881268794,-8.48820730092996,78.0167546048402,0,247176,2017,"d",TRUE,"2021-07-29",4,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,155.871665665423,-5.93979508234844,59.0434885763598,21.7448244080682,177771,2021,"A#",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,102.845219072488,-7.64917972413906,23.1275312475804,69.0395064596113,286947,2006,"d",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,104.848832299114,-7.4606755029855,74.3716179590365,0,242325,2008,"c",TRUE,"2021-07-29",1,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108.467904080162,-9.36918995446137,76.0498572871354,0,182621,2016,"A",TRUE,"2021-07-29",6,"#ID4940"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,115.517480796487,-8.08496590775052,75.2014794440087,20.7920505166637,224566,2006,"C",FALSE,"2021-07-29",2,"#ID4940"
"Nenhuma",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,123.135762399071,-7.8421661530673,72.9996299971549,0,238053,2003,"f",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,106.10825590307,-5.5054568911888,71.6677608267365,0,187907,1984,"e",TRUE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,116.562524315507,-6.70738702845047,77.081171886874,0,202579,2013,"C",TRUE,"2021-07-29",4,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,168.405571386412,-5.49858168473718,59.6400822995802,0,176907,2021,"g#",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,127.193404155706,-8.20453185508056,64.5783538236452,0,395886,1953,"F",TRUE,"2021-07-29",3,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,98.377532682571,-8.46718071343688,65.8755587146687,16.7823975493445,156160,1997,"d",TRUE,"2021-07-29",2,"#ID4940"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,124.949591502182,-6.4885735602379,80.4746555106025,24.4958799910755,221158,2005,"c",TRUE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122.393030624052,-9.05260441092118,75.7154184961792,0,194920,2014,"G#",TRUE,"2021-07-29",2,"#ID4940"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,154.800731017861,-6.45980349115137,59.6066548879823,23.8368716944555,156663,2019,"N/A",FALSE,"2021-07-29",8,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,126.150990678002,-7.03196302088374,70.577984836231,24.6686379125252,210210,2015,"A#",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98.0160371219574,-6.61368124292955,77.0229905792831,0,165113,2015,"c",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,136.032298080584,-7.20430840082524,76.9742645479974,0,184797,2002,"C",FALSE,"2021-07-29",1,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,165.144390219711,-7.34475959386546,56.2983548810852,0,176432,2021,"f",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,96.0001243598206,-21.5912977146413,0,0,163196,2004,"N/A",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,88.0196672870523,-10.9576932086655,73.1516690651235,0,204070,2019,"F",TRUE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,109.154677416311,-8.6342839721967,70.4314082551451,0,160088,1993,"c#",TRUE,"2021-07-29",4,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,116.469384523,-8.46896871897742,64.5508139719601,24.1780696764757,144016,2019,"f",FALSE,"2021-07-29",7,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117.083972363769,-7.0552979030987,79.1915668939087,0,179893,2015,"f#",TRUE,"2021-07-29",2,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,161.495105796125,-5.98493039659995,53.2124460344061,0,210514,2020,"F",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111.629837690318,-10.1612081936533,66.7514245084914,34.8968120732945,360330,1982,"D",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,97.5592229497137,-7.98416700168233,81.7672038678316,12.7682240106682,301120,1999,"c#",TRUE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85.2095065107416,-9.5311118240019,84.5321033618896,0,172261,2013,"G",TRUE,"2021-07-29",4,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,81.6898603816347,-9.61408131031208,71.4297849651931,0,188840,2013,"F",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,82.0579620688684,-9.69624610330242,78.6553187002496,0,179647,2020,"B",FALSE,"2021-07-29",3,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,102.528506722318,-6.84073126019969,27.2062667582879,79.1681769397543,243349,2010,"N/A",FALSE,"2021-07-29",3,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,102.985949286766,-7.25052248060843,16.9837925918893,58.2857257354152,201134,2011,"g",TRUE,"2021-07-29",5,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,120.249832154987,-15.9922907089052,0,0,314163,1999,"N/A",FALSE,"2021-07-29",1,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,137.221006210911,-7.63641265931089,73.3185180021576,0,139974,1986,"d",FALSE,"2021-07-29",5,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,128.698768339896,-11.4338622519402,78.8875166004178,0,262837,1976,"C",TRUE,"2021-07-29",3,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,139.963370556122,-8.42323919841762,68.0288303951628,0,365534,2002,"c#",FALSE,"2021-07-29",1,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,105.460852147523,-7.8321875916295,55.4314108253213,22.4561860446745,178301,2020,"a#",TRUE,"2021-07-29",5,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,96.8685567148952,-9.02883028797257,69.3792025884693,0,202835,1985,"d#",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106.073256683063,-6.92181114316449,69.9584291736085,0,197393,2016,"D#",FALSE,"2021-07-29",2,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120.562228849245,-6.38880040620201,77.4527208478485,0,187228,2015,"C",TRUE,"2021-07-29",5,"#ID4940"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,107.057263550116,-7.75583759047762,18.7319520320778,75.9340032563121,210618,2006,"d",FALSE,"2021-07-29",6,"#ID4940"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,153.319872284423,-7.66930984860833,69.1610880668883,0,240874,1976,"G",FALSE,"2021-07-29",4,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,95.7622674940515,-5.04072918850075,68.4116812326825,0,182034,2021,"d",FALSE,"2021-07-29",1,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,123.360355718448,-10.8350921120886,75.8488713630583,0,226363,1994,"d#",TRUE,"2021-07-29",3,"#ID4940"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,137.789093924616,-6.23212808748926,61.5582333499012,0,228076,2017,"b",FALSE,"2021-07-29",3,"#ID4940"
"Acústica",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,49.4932296862241,-22.7382397394999,0,0,294456,2007,"N/A",FALSE,"2021-07-29",6,"#ID4940"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,86.5987217038927,-3.47003352071009,77.1485707977865,0,168542,2021,"F",FALSE,"2021-07-29",4,"#ID4940"
